StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,IC,Time_Vign_male_First_Click,Time_Vign_male_Last_Click,Time_Vign_male_Page_Submit,Time_Vign_male_Click_Count,W_AC_m_1,Ch_LoEf_m_1,Ch_LoEf_m_2,Ch_LoEf_m_3,Ch_LoEf_m_4,Ch_LoEf_m_5,Ch_LoEf_m_6,Ch_LoEf_m_7,Ch_LoEf_m_8,Ch_LoEf_m_9,Ch_LoEf_m_10,Ch_LoEf_m_11,Ch_LoEf_m_12,Ch_LoEf_m_13,Ch_LoEf_m_14,Ch_LoEf_m_15,Ch_HiEf_1,Ch_HiEf_2,Ch_HiEf_3,Ch_HiEf_4,Ch_HiEf_5,Ch_HiEf_6,Ch_HiEf_7,Ch_HiEf_8,Ch_HiEf_9,Ch_HiEf_10,Ch_HiEf_11,Ch_HiEf_12,Ch_HiEf_13,Ch_HiEf_14,Ch_HiEf_15,W_Ef_LoEf_m,W_Ef_HiEf_m,W_Qu_LoEf_m,W_Qu_HiEf_m,W_Dif_LoEf_m,W_Dif_HiEf_m,W_Val_LoEf_m,W_Val_HiEf_m,AC_m_2,Sal_LoEf_1,Sal_HiEf_1,W_Coop_LoEf_m,W_Coop_HiEf_m,Time_Vign_female_First_Click,Time_Vign_female_Last_Click,Time_Vign_female_Page_Submit,Time_Vign_female_Click_Count,W_AC_f_1,Ch_LoEf_f_1,Ch_LoEf_f_2,Ch_LoEf_f_3,Ch_LoEf_f_4,Ch_LoEf_f_5,Ch_LoEf_f_6,Ch_LoEf_f_7,Ch_LoEf_f_8,Ch_LoEf_f_9,Ch_LoEf_f_10,Ch_LoEf_f_11,Ch_LoEf_f_12,Ch_LoEf_f_13,Ch_LoEf_f_14,Ch_LoEf_f_15,Ch_HiEf_1.0,Ch_HiEf_2.0,Ch_HiEf_3.0,Ch_HiEf_4.0,Ch_HiEf_5.0,Ch_HiEf_6.0,Ch_HiEf_7.0,Ch_HiEf_8.0,Ch_HiEf_9.0,Ch_HiEf_10.0,Ch_HiEf_11.0,Ch_HiEf_12.0,Ch_HiEf_13.0,Ch_HiEf_14.0,Ch_HiEf_15.0,W_Ef_LoEf_f,W_Ef_HiEf_f,W_Qu_LoEf_f,W_Qu_HiEf_f,W_Dif_LoEf_f,W_Dif_HiEf_f,W_Val_LoEf_f,W_Val_HiEf_f,W_AC_f_2,W_Sal_LoEf_f_1,W_Sal_HiEf_f_1,W_Coop_LoEf_f,W_Coop_HiEf_f,Age,Gen,Gen_3_TEXT,Nat,Cou,Lan,Edu,Lad,FB,SC0
2024-09-16 15:57:21,2024-09-16 15:57:21,2,,100,0,1,2024-09-16 15:57:22,R_eShf5wzQXOTMVtc,,,,,,,test,,1,9.44,9.6,9.6,23,2,1,7,7,1,7,3,3,1,5,7,6,1,7,6,3,3,7,7,1,1,5,4,2,7,7,6,1,4,4,3,5,1,2,6,4,7,6,6,7,32,29,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,,TEXT,TEXT,1,4,1,Gravida pellentesque ac ante lacus aenean. Tempor malesuada! Augue. Venenatis justo.,181
2024-09-16 15:57:22,2024-09-16 15:57:22,2,,100,0,1,2024-09-16 15:57:22,R_8AnF5QQsNHXjeKi,,,,,,,test,,1,5.5,7.96,9.92,45,3,3,7,5,1,3,4,7,6,1,6,1,1,5,4,7,7,3,2,2,4,4,5,1,5,7,1,2,5,3,6,7,3,6,5,5,6,1,6,3,33,15,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,2,,TEXT,TEXT,2,3,7,Rhoncus ridiculus. Vel aliquam iaculis nulla rhoncus. Eget et venenatis integer augue bibendum dui.,178
2024-09-16 15:57:22,2024-09-16 15:57:22,2,,100,0,1,2024-09-16 15:57:22,R_5jUgZred2rmKRFk,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44,5.77,6.24,4,7,7,1,1,5,4,1,7,4,3,5,3,3,3,4,7,5,5,2,5,4,6,7,5,4,4,2,4,6,2,1,4,7,4,4,2,3,5,1,5,33,16,7,5,60,2,,TEXT,TEXT,1,8,1,Cras. In cras venenatis massa nonummy tortor scelerisque porta ligula vitae felis eget curabitur.,175
2024-09-16 15:57:22,2024-09-16 15:57:22,2,,100,0,1,2024-09-16 15:57:22,R_esQzSXTumZBQwm2,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,4.18,5.35,39,7,5,7,2,2,4,7,2,6,2,4,5,1,3,3,3,5,7,5,6,1,7,4,5,6,5,4,4,5,2,2,5,7,7,3,7,4,7,1,1,24,30,4,4,53,2,,TEXT,TEXT,2,4,9,"Erat sapien nonummy felis, vulputate nulla dolor. Lorem leo! Aenean.",191
2024-09-16 15:57:22,2024-09-16 15:57:22,2,,100,0,1,2024-09-16 15:57:23,R_3JzYy8NQlNrvY6G,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,6.01,9.61,2,5,1,7,4,6,4,7,1,3,1,5,2,7,5,4,7,6,7,1,3,2,1,3,5,3,4,2,1,3,5,3,7,5,6,6,4,5,2,7,3,18,13,7,1,31,3,Aliquet pede cursus felis? Tempora metus scelerisque! Consectetuer facilisis atque! Montes per elit. Scelerisque.,TEXT,TEXT,2,7,7,"Accusamus tortor a sapien, commodo pharetra? At quam gravida magna fringilla? Neque nunc. Neque.",183
2024-09-16 15:57:23,2024-09-16 15:57:23,2,,100,0,1,2024-09-16 15:57:23,R_8bTtBH1XZqKZsiy,,,,,,,test,,1,7.29,8.06,9.69,37,5,4,1,5,5,6,6,4,6,3,5,2,2,3,4,6,1,5,6,3,5,4,4,4,2,2,5,1,1,5,3,2,6,1,1,6,5,1,1,1,33,24,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,4,,TEXT,TEXT,1,6,10,At leo malesuada morbi imperdiet lectus morbi ullamcorper sapien! Consequat magnis turpis imperdiet.,164
2024-09-16 15:57:23,2024-09-16 15:57:23,2,,100,0,1,2024-09-16 15:57:23,R_6SGu9yKJ6PdZSt0,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,3.73,7.7,11,1,6,2,1,7,3,1,4,2,2,2,5,4,1,1,2,1,3,6,6,7,2,7,6,6,5,2,3,5,7,7,1,4,4,6,7,3,2,3,1,28,32,2,7,89,1,,TEXT,TEXT,3,7,5,Consequat? Natoque vestibulum erat ab! Accumsan quis facilisi morbi phasellus pharetra potenti. Lorem.,165
2024-09-16 15:57:23,2024-09-16 15:57:23,2,,100,0,1,2024-09-16 15:57:23,R_9sls8c2LGLYt7ym,,,,,,,test,,1,1.27,2.91,6.03,44,6,5,6,2,3,1,5,4,7,4,5,6,2,5,5,6,2,3,7,6,4,2,7,3,7,1,2,4,1,3,5,3,2,1,1,2,7,3,2,5,24,17,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,,TEXT,TEXT,1,6,3,Tellus accusamus dapibus iaculis sem urna pede! Nunc id blandit justo urna? Vivamus.,167
2024-09-16 15:57:23,2024-09-16 15:57:23,2,,100,0,1,2024-09-16 15:57:24,R_3IPGrE1RCrV6swS,,,,,,,test,,1,9.19,9.62,9.21,12,7,1,5,3,4,3,4,7,3,5,5,1,3,7,6,5,5,7,1,3,1,6,3,2,1,2,5,7,2,2,1,7,4,3,7,7,1,3,3,1,24,34,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,1,,TEXT,TEXT,2,6,10,"Vitae blandit pede ipsum! Facilisi placerat, ipsum dapibus sit viverra venenatis pretium vulputate.",173
2024-09-16 15:57:24,2024-09-16 15:57:24,2,,100,0,1,2024-09-16 15:57:24,R_8esGDfzW04MKj8q,,,,,,,test,,1,0.89,3.17,7.12,41,1,6,5,7,1,6,2,1,2,6,1,5,2,6,2,7,7,5,5,3,6,5,5,6,7,2,2,4,5,5,4,1,5,6,1,6,6,2,5,6,17,25,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,3,Rhoncus tempus? Wisi porttitor magnis blandit malesuada? Dapibus orci. Nunc.,TEXT,TEXT,3,6,1,"Nullam. Tempus dolor placerat porta wisi sem, culpa nullam maecenas, posuere est.",183
2024-09-16 15:57:24,2024-09-16 15:57:24,2,,100,0,1,2024-09-16 15:57:24,R_brZqgnUicpRoX4i,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52,9.83,9.94,32,5,1,3,3,3,3,2,7,5,4,2,2,2,5,2,4,4,2,1,3,7,4,6,3,5,3,6,6,6,2,6,1,4,6,4,1,3,5,5,6,21,13,7,5,57,1,,TEXT,TEXT,4,3,7,Nulla! Nec ante scelerisque rhoncus vitae! Sagittis orci vitae id ante? Lorem.,168
2024-09-16 15:57:24,2024-09-16 15:57:24,2,,100,0,1,2024-09-16 15:57:24,R_2h3YHR1SGGA24ke,,,,,,,test,,1,3.58,5.12,7.72,7,6,4,1,1,3,3,3,2,7,6,4,3,4,7,2,1,7,7,5,2,1,2,1,7,5,2,6,1,3,2,4,4,5,5,7,2,7,7,3,4,12,20,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,,TEXT,TEXT,3,4,2,Ultricies eu tempus vestibulum primis tempor per eros culpa vestibulum justo pede.,167
2024-09-16 15:57:24,2024-09-16 15:57:24,2,,100,0,1,2024-09-16 15:57:25,R_26luVZ80u0E88aq,,,,,,,test,,1,8.68,8.78,9.29,20,5,1,4,6,7,5,6,6,4,1,5,5,4,7,1,1,1,5,2,6,7,4,5,2,7,1,2,7,1,1,4,1,5,6,6,3,2,4,7,2,14,18,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,,TEXT,TEXT,4,6,4,Mi sed faucibus sem. Rhoncus pretium. Tortor nulla aenean consequat id.,176
2024-09-16 15:57:25,2024-09-16 15:57:25,2,,100,0,1,2024-09-16 15:57:25,R_b8ayD1Wv8LwMx7g,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05,7.89,7.88,42,3,3,1,2,1,3,2,4,3,7,4,6,4,4,6,7,5,6,5,3,5,6,3,2,3,7,1,2,2,3,3,7,7,5,1,4,2,4,7,4,14,22,5,7,93,3,Est ultrices sagittis lectus accumsan pharetra quam. Faucibus temporibus at vitae. Laoreet odio.,TEXT,TEXT,2,9,1,Lectus! Massa vulputate aenean. Pellentesque. Porttitor fusce ipsum lorem. Vel? Pretium fusce.,173
2024-09-16 15:57:25,2024-09-16 15:57:25,2,,100,0,1,2024-09-16 15:57:25,R_bx42VOJmHbxcPLE,,,,,,,test,,1,4.05,7.03,9.06,38,4,5,6,4,7,2,2,2,6,4,4,7,4,7,6,5,4,1,5,4,7,2,3,6,6,5,1,1,1,5,1,6,5,5,2,3,3,7,3,2,18,32,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,2,,TEXT,TEXT,2,3,6,"Primis! Temporibus urna. Venenatis? Velit vulputate accumsan purus curabitur, cursus tincidunt suspendisse proin.",177
2024-09-16 15:57:25,2024-09-16 15:57:25,2,,100,0,1,2024-09-16 15:57:25,R_b8fKaW0vvTtqOtU,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,7.69,7.34,37,4,3,7,3,5,6,5,5,6,3,5,1,1,3,3,5,5,5,4,5,2,7,7,6,5,5,7,4,4,2,3,6,3,6,1,4,2,1,7,2,32,33,5,6,86,1,,TEXT,TEXT,3,6,6,Fermentum duis. Vestibulum atque nonummy interdum metus proin arcu eleifend. Cursus a.,185
2024-09-16 15:57:25,2024-09-16 15:57:25,2,,100,0,1,2024-09-16 15:57:26,R_3aWRPBMLi8wQ53U,,,,,,,test,,1,2.12,2.86,7.74,8,4,2,2,7,5,2,1,5,1,7,4,2,4,1,1,7,2,3,3,7,2,1,7,1,1,4,5,5,1,4,2,1,6,5,5,3,1,5,2,1,29,30,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1,,TEXT,TEXT,1,5,5,Faucibus laoreet faucibus pellentesque dolorem orci? Fusce augue blandit ac velit.,145
2024-09-16 15:57:26,2024-09-16 15:57:26,2,,100,0,1,2024-09-16 15:57:26,R_e4GGMeu4TvC200S,,,,,,,test,,1,2.24,8.55,2.81,3,1,1,1,3,7,7,3,7,6,6,6,7,6,2,2,3,2,6,4,6,6,6,6,2,7,5,4,1,6,1,1,7,4,2,7,7,3,4,6,6,30,23,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,4,,TEXT,TEXT,1,6,1,Sit? Urna non cursus ultricies non cursus non. Nullam commodo.,190
2024-09-16 15:57:26,2024-09-16 15:57:26,2,,100,0,1,2024-09-16 15:57:26,R_4OOon2R5UaTc7sO,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,4.48,6.82,36,6,2,2,7,6,1,4,1,3,3,6,2,3,6,6,5,1,6,1,4,3,1,2,5,1,7,3,2,7,4,1,4,3,4,6,4,2,3,7,1,18,20,2,3,118,3,"Natoque donec, magna! Vestibulum. Augue cursus volutpat scelerisque tincidunt lacus maecenas lorem.",TEXT,TEXT,3,2,1,Fringilla venenatis leo iaculis posuere? Tempora suscipit! Quis fermentum in commodo est sem turpis ac.,155
2024-09-16 15:57:26,2024-09-16 15:57:26,2,,100,0,1,2024-09-16 15:57:26,R_51p7ShqUUTUlSaG,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,7.77,6.79,48,3,6,5,1,2,3,3,6,4,1,3,2,2,5,5,4,4,3,3,7,2,1,3,5,6,1,2,7,6,2,7,3,3,5,3,2,6,2,5,2,15,35,4,2,38,2,,TEXT,TEXT,2,3,6,"Placerat venenatis enim mauris, risus placerat. Eros est rhoncus turpis mauris at mi phasellus vitae.",159
2024-09-16 15:57:26,2024-09-16 15:57:26,2,,100,0,1,2024-09-16 15:57:26,R_7VUuGIBD6AH7aGq,,,,,,,test,,1,5.52,7.79,7.25,33,4,5,1,7,4,2,6,4,1,1,5,6,3,3,7,4,1,6,5,4,5,5,7,1,2,4,3,2,7,2,4,1,1,2,5,7,2,7,4,4,35,26,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,4,,TEXT,TEXT,4,9,8,Vitae ipsum ullamcorper pede fermentum amet per scelerisque montes aliquet leo wisi integer. Tellus.,180
2024-09-16 15:57:27,2024-09-16 15:57:27,2,,100,0,1,2024-09-16 15:57:27,R_9SpB2eVxckQAhgy,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,8.22,6.65,0,3,5,3,1,3,6,5,5,5,4,6,7,5,2,6,1,7,4,4,3,1,2,5,4,4,4,7,5,7,2,4,1,3,1,2,1,7,2,1,4,27,20,6,6,103,3,"Lacus viverra placerat viverra tellus sit tincidunt, integer wisi vel, eros id. Erat? Aliquam velit.",TEXT,TEXT,4,7,7,Vivamus aenean viverra. Iaculis tempus amet suspendisse sollicitudin placerat. Tellus euismod vulputate consectetuer.,174
2024-09-16 15:57:27,2024-09-16 15:57:27,2,,100,0,1,2024-09-16 15:57:27,R_b94ZYjx9q865T5s,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.26,9.56,9.58,16,4,1,2,3,7,1,6,2,7,4,2,4,1,6,2,7,4,3,1,2,5,3,3,3,3,4,6,6,5,1,6,4,3,4,4,2,7,7,5,6,24,28,4,4,114,3,Purus turpis ridiculus vehicula malesuada commodo nulla turpis. Viverra tempus natoque.,TEXT,TEXT,3,6,9,Sit. Egestas in culpa. Erat! Felis vivamus et tempor turpis? Turpis gravida dictumst proin.,178
2024-09-16 15:57:27,2024-09-16 15:57:27,2,,100,0,1,2024-09-16 15:57:27,R_512SLUMMrt8fzzU,,,,,,,test,,1,6.73,8.7,9.95,49,2,4,2,3,5,6,2,3,6,7,2,2,7,6,4,4,7,7,4,4,2,6,1,2,1,1,5,7,1,7,1,6,1,4,6,1,4,4,6,1,13,23,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2,,TEXT,TEXT,3,5,9,"Iaculis! Vivamus laoreet leo, elit urna, ligula rhoncus potenti commodo facilisis. Curabitur nibh consectetuer.",174
2024-09-16 15:57:27,2024-09-16 15:57:27,2,,100,0,1,2024-09-16 15:57:27,R_cT6Tlx0Oc1nh3U2,,,,,,,test,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,8.83,9.5,41,1,5,7,1,1,7,5,4,5,1,1,5,7,1,3,4,6,5,5,1,3,5,6,7,1,1,3,2,4,5,2,7,2,3,7,2,3,4,4,1,22,34,4,5,26,4,,TEXT,TEXT,3,5,2,"Risus montes consequat? Rhoncus proin, scelerisque suscipit, arcu eget, pretium. Ipsum tempor. Enim.",162
2024-09-16 15:57:28,2024-09-16 15:57:28,2,,100,0,1,2024-09-16 15:57:28,R_4NQZE0ksGjqngpg,,,,,,,test,,1,7.99,8.03,9.96,30,7,1,2,4,5,2,6,2,6,7,7,6,3,4,2,5,1,2,7,1,1,6,2,7,2,2,5,2,2,5,2,1,3,7,4,7,3,4,7,7,19,26,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,,TEXT,TEXT,1,4,4,Duis maecenas magna montes massa ridiculus ullamcorper eu! Elit morbi commodo? Porttitor pretium? Bibendum! Augue.,170
